cpd.name	cpd.id	mM	is.constant
Water	cpd00001_e0	1000	TRUE
Sodium	cpd00971_e0	1000	TRUE
K+	cpd00205_e0	1000	TRUE
Cl-	cpd00099_e0	1000	TRUE
Fe2+	cpd10515_e0	1000	TRUE
Fe3+	cpd10516_e0	1000	TRUE
Phosphate	cpd00009_e0	1000	TRUE
Co2+	cpd00149_e0	1000	TRUE
Mg2+	cpd00254_e0	1000	TRUE
Ni2+	cpd00244_e0	1000	TRUE
Sulfate	cpd00048_e0	1000	TRUE
H2S	cpd00239_e0	10	TRUE
Zn2+	cpd00034_e0	1000	TRUE
Cu2+	cpd00058_e0	1000	TRUE
Mn2+	cpd00030_e0	1000	TRUE
Ca2+	cpd00063_e0	1000	TRUE
Ammonium	cpd00013_e0	1000	TRUE
N2	cpd00528_e0	1000	TRUE
O2	cpd00007_e0	0	TRUE
CO2	cpd00011_e0	0.2	FALSE
H2	cpd11640_e0	0	FALSE
D-Glucose	cpd00027_e0	25	FALSE
Acetate	cpd00029_e0	0	FALSE
Formate	cpd00047_e0	0	FALSE
L-Lactate	cpd00159_e0	0	FALSE
Butyrate	cpd00211_e0	0	FALSE
